	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
0	18	24	26	4	32	20	30	2	3	3	8	3	4	5	0.4926625504432824
1	26	34	26	26	8	10	12	5	2	2	3	3	5	8	0.5047382502810327
2	26	22	18	14	24	20	30	2	2	3	7	4	3	4	0.5066997052224367
3	40	12	2	8	30	12	38	3	2	5	6	2	5	8	0.5230605596361569
4	34	18	10	32	8	38	4	2	2	2	5	6	6	2	0.5285260593531705
5	20	38	4	4	38	22	38	2	3	3	3	6	5	7	0.5129615952011772
6	20	32	6	18	14	8	10	3	3	3	3	3	4	7	0.5025588058186513
7	26	2	12	36	30	34	22	3	7	4	8	7	3	8	0.3849716686092923
8	28	18	34	8	4	34	8	6	2	3	4	5	8	3	0.46776452850489986
9	4	4	36	12	10	10	2	3	3	3	7	4	3	2	0.4737105120771549
10	40	14	20	24	36	16	18	2	3	2	3	3	5	8	0.5132584721282017
11	24	38	4	24	28	22	34	3	2	3	3	4	8	6	0.5243723700997958
12	34	16	12	16	36	6	38	2	2	2	6	7	5	6	0.5280513528180326
13	28	38	28	18	12	14	14	2	2	3	5	7	6	6	0.5079535332445665
14	20	14	36	4	40	4	2	3	2	4	3	7	7	4	0.4896848627892807
15	38	20	10	22	6	8	18	3	2	3	3	6	2	8	0.5018302668769047
16	32	8	22	30	2	8	6	3	2	3	8	5	3	4	0.5226011878617196
17	2	22	36	8	32	38	26	2	2	2	4	4	6	6	0.5210289658584568
18	28	30	22	24	24	2	22	3	2	2	4	6	4	3	0.5240688800267821
19	8	16	14	12	8	12	30	4	2	4	3	5	7	5	0.5050320886813434
20	2	34	34	14	28	2	10	4	3	2	3	8	7	3	0.4996848443767702
21	30	22	6	14	4	16	22	3	2	5	5	4	8	4	0.5242405716868774
22	38	30	36	22	20	22	26	2	3	2	7	6	3	6	0.513410748999959
23	22	24	20	16	4	6	28	5	3	3	5	6	8	8	0.47375627121485
24	20	20	38	6	26	32	20	4	3	2	7	4	4	7	0.4845888319483592
25	2	10	2	36	18	34	10	6	2	2	5	7	6	4	0.5017243003359452
26	4	40	12	30	32	4	28	2	5	4	7	5	3	7	0.4410920939664057
27	4	30	12	6	12	8	32	2	2	4	8	5	7	4	0.5220667531311822
28	18	4	36	36	36	36	34	3	3	3	7	5	5	2	0.4939837058308403
29	18	22	38	10	24	4	20	2	2	3	6	7	8	6	0.5241723048399622
30	30	24	30	32	4	18	20	3	2	2	3	7	5	4	0.5235994317093109
31	32	10	4	10	32	10	38	3	3	2	8	6	5	4	0.505476473053158
32	38	8	28	6	36	38	8	2	2	6	8	3	6	4	0.5230868967703526
33	40	26	14	32	24	4	22	2	3	3	7	7	5	5	0.49311041065000377
34	24	14	32	4	20	38	22	2	3	3	4	5	4	3	0.4892925346019486
35	38	28	34	28	32	40	2	3	2	3	6	3	4	7	0.5029164871564065
36	38	18	24	10	22	38	20	3	3	3	3	4	8	4	0.4850031878434327
37	32	12	34	38	4	30	20	3	5	3	5	2	7	8	0.47442044102137554
38	36	18	28	14	4	6	24	3	2	3	3	7	3	6	0.5058399872446779
39	20	40	38	38	6	8	30	2	2	2	5	6	7	7	0.5252302972550608
40	6	40	16	20	18	24	2	3	2	3	7	5	4	3	0.4990243564743111
41	32	34	16	24	18	34	16	3	2	2	5	3	5	3	0.529600727851683
42	16	6	38	26	34	30	16	2	3	2	2	4	7	4	0.5011321887256375
43	34	20	16	20	16	24	38	3	4	3	3	3	2	2	0.4896247672059243
44	38	28	24	28	28	2	24	2	3	3	5	3	4	3	0.514893752505414
45	40	2	32	36	38	8	38	3	3	3	3	5	6	5	0.5038856785575194
46	36	16	16	18	36	28	32	2	2	3	7	7	7	2	0.5247996495318409
47	36	30	32	4	20	4	34	3	2	5	2	5	3	4	0.5243356559986665
48	22	14	40	36	20	10	14	3	2	3	5	6	6	4	0.5026942935683625
49	36	38	28	2	30	32	26	2	5	3	5	2	3	8	0.46637392236901193
50	28	2	6	26	18	6	12	2	2	2	3	3	4	3	0.5266203301524924
51	30	10	38	28	38	6	38	4	2	3	6	6	3	3	0.4935289494065199
52	4	30	40	18	14	24	24	2	2	3	7	5	7	3	0.5216977271222919
53	16	38	30	8	38	12	26	2	3	3	5	3	3	8	0.4969137469054603
54	22	6	24	8	10	24	22	2	3	3	5	6	5	5	0.4884102961147344
55	40	30	26	16	6	2	38	2	2	3	6	5	3	7	0.5084187833288096
56	32	38	8	34	26	38	18	3	4	3	4	7	5	8	0.4903749016795816
57	36	34	32	22	22	6	30	7	2	2	3	3	2	5	0.49299225507968
58	14	36	32	34	14	10	38	3	2	2	5	7	8	5	0.49845557852191136
59	26	18	34	2	28	20	18	2	2	3	4	4	8	7	0.5254754151568108
60	28	16	28	20	32	2	34	8	2	2	8	7	8	6	0.4795256785278922
61	38	4	18	8	32	12	26	5	2	3	5	7	6	2	0.5006840180873257
62	34	36	8	40	16	4	16	2	4	3	5	8	5	6	0.5003931889315234
63	38	28	30	8	36	16	4	5	3	3	3	5	2	4	0.4623158148603433
64	36	2	2	22	38	2	4	2	3	4	7	8	7	6	0.4779156107748734
65	8	34	30	38	30	8	22	2	2	3	6	6	3	7	0.5069046969044637
66	36	26	34	20	14	28	32	3	2	3	8	5	4	6	0.4511743438648302
67	28	10	18	6	18	6	30	4	2	2	6	5	8	5	0.5102139135221386
68	36	38	34	18	22	6	30	4	3	4	7	6	6	3	0.49517458388572855
69	16	24	8	10	18	28	4	4	2	2	3	2	8	6	0.5138006293939714
70	14	6	26	28	24	28	10	3	3	3	7	8	7	3	0.48043392501640536
71	38	2	2	18	18	32	26	2	3	3	5	6	5	7	0.5125530804482963
72	8	6	36	16	38	4	22	5	2	2	8	7	6	6	0.50503997063753
73	26	8	30	8	32	26	36	7	3	2	6	3	5	7	0.45149841842580657
74	16	40	30	12	14	12	20	3	2	2	7	8	3	2	0.4806226759342657
75	28	32	14	28	10	10	12	4	2	5	4	7	7	8	0.5127084093358019
76	18	10	18	10	16	2	36	3	2	3	6	3	4	6	0.5178041105683673
77	38	36	18	36	16	16	20	4	3	3	6	4	5	5	0.49489291598000384
